Data 20.11.2025    Godzina 12:20

Numer 02498 AKR 12 GRUDZIEÑ  Korekta

PILKINGTON

Symbol                                   Iloœæ   Szer     Wys    Poz   Zlecenie  
4/16/4S3 Ug=1.1 ALU                         1     713     951     1      53468 poz.1             
4/16/4S3 Ug=1.1 ALU                         1    1279     990     1      53468 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     688     990     2      53468 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     583     951     2      53468 poz.2             
4/16/4S3 Ug=1.1 ALU                         1    1323     990     3      53468 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     583     951     3      53468 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     583     951     4      53468 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     583     951     4      53468 poz.4             
4/16/4S3 Ug=1.1 ALU                         1    1258     990     4      53468 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     675     951     1      53470 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     675     951     1      53470 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     807    1055     1      53470 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     541     951     2      53470 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     541     886     2      53470 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     770    1055     3      53470 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     666     951     3      53470 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     798    1055     3      53470 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     675     951     4      53470 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     675     951     4      53470 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     807     990     4      53470 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     713    1191     5      53470 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     713    1191     5      53470 poz.5             
4/16/4S3 Ug=1.1 ALU                         1    1079    1295     5      53470 poz.5             
4/16/4S3 Ug=1.1 ALU                         1    1079    1295     5      53470 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     663     951     6      53470 poz.6             
4/16/4S3 Ug=1.1 ALU                         1     663     951     6      53470 poz.6             
4/16/4S3 Ug=1.1 ALU                         1    1646     990     6      53470 poz.6             
4/16/4S3 Ug=1.1 ALU                         1     487     951     1      53474 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     646     990     1      53474 poz.1             
4/16/4S3 Ug=1.1 ALU                         1     460     886     2      53474 poz.2             
4/16/4S3 Ug=1.1 ALU                         1     586    1191     3      53474 poz.3             
4/16/4S3 Ug=1.1 ALU                         1     586    1191     4      53474 poz.4             
4/16/4S3 Ug=1.1 ALU                         1     713     951     5      53474 poz.5             
4/16/4S3 Ug=1.1 ALU                         1    1153    1055     5      53474 poz.5             
4/16/4S3 Ug=1.1 ALU                         1     713     951     5      53474 poz.5             


                              W.Kania

 Dostawa na  3 12 25 SRODA
